N_NEIGHBORS	WEIGHTS	DISTANCE	WEIGHTS PARAMS	DIST PARAMS	TRAIN ACC	VAL ACC	CROSS VAL ACC
1	Always One	Minkowski	Empty	1	0.908507	0.691011	0.733547
1	Always One	Minkowski	Empty	2	0.910112	0.707865	0.736758
1	Always One	Minkowski	Empty	3	0.910112	0.707865	0.738363
1	Always One	Minkowski	Empty	4	0.910112	0.707865	0.738363
1	Always One	Minkowski	Empty	5	0.910112	0.707865	0.738363
1	Always One	Minkowski	Empty	6	0.910112	0.707865	0.738363
1	Always One	Minkowski	Empty	7	0.910112	0.707865	0.738363
1	Always One	Minkowski	Empty	8	0.876404	0.674157	0.728732
1	Always One	Minkowski	Empty	9	0.876404	0.674157	0.727127
1	Always One	Minkowski	Empty	10	0.913323	0.730337	0.743178
1	Inverse Distance	Minkowski	Empty	1	0.908507	0.691011	0.733547
1	Inverse Distance	Minkowski	Empty	2	0.910112	0.707865	0.736758
1	Inverse Distance	Minkowski	Empty	3	0.910112	0.707865	0.738363
1	Inverse Distance	Minkowski	Empty	4	0.910112	0.707865	0.738363
1	Inverse Distance	Minkowski	Empty	5	0.910112	0.707865	0.738363
1	Inverse Distance	Minkowski	Empty	6	0.910112	0.707865	0.738363
1	Inverse Distance	Minkowski	Empty	7	0.910112	0.707865	0.738363
1	Inverse Distance	Minkowski	Empty	8	0.876404	0.674157	0.728732
1	Inverse Distance	Minkowski	Empty	9	0.876404	0.674157	0.727127
1	Inverse Distance	Minkowski	Empty	10	0.913323	0.730337	0.743178
1	Negative Distance	Minkowski	Empty	1	0.908507	0.691011	0.733547
1	Negative Distance	Minkowski	Empty	2	0.910112	0.707865	0.736758
1	Negative Distance	Minkowski	Empty	3	0.910112	0.707865	0.738363
1	Negative Distance	Minkowski	Empty	4	0.910112	0.707865	0.738363
1	Negative Distance	Minkowski	Empty	5	0.910112	0.707865	0.738363
1	Negative Distance	Minkowski	Empty	6	0.910112	0.707865	0.738363
1	Negative Distance	Minkowski	Empty	7	0.910112	0.707865	0.738363
1	Negative Distance	Minkowski	Empty	8	0.876404	0.674157	0.728732
1	Negative Distance	Minkowski	Empty	9	0.876404	0.674157	0.727127
1	Negative Distance	Minkowski	Empty	10	0.913323	0.730337	0.743178
1	Hump	Minkowski	Empty	1	0.908507	0.691011	0.733547
1	Hump	Minkowski	Empty	2	0.910112	0.707865	0.736758
1	Hump	Minkowski	Empty	3	0.910112	0.707865	0.738363
1	Hump	Minkowski	Empty	4	0.910112	0.707865	0.738363
1	Hump	Minkowski	Empty	5	0.910112	0.707865	0.738363
1	Hump	Minkowski	Empty	6	0.910112	0.707865	0.738363
1	Hump	Minkowski	Empty	7	0.910112	0.707865	0.738363
1	Hump	Minkowski	Empty	8	0.876404	0.674157	0.728732
1	Hump	Minkowski	Empty	9	0.876404	0.674157	0.727127
1	Hump	Minkowski	Empty	10	0.913323	0.730337	0.743178
1	Decay	Minkowski	Empty	1	0.908507	0.691011	0.733547
1	Decay	Minkowski	Empty	2	0.910112	0.707865	0.736758
1	Decay	Minkowski	Empty	3	0.910112	0.707865	0.738363
1	Decay	Minkowski	Empty	4	0.910112	0.707865	0.738363
1	Decay	Minkowski	Empty	5	0.910112	0.707865	0.738363
1	Decay	Minkowski	Empty	6	0.910112	0.707865	0.738363
1	Decay	Minkowski	Empty	7	0.910112	0.707865	0.738363
1	Decay	Minkowski	Empty	8	0.876404	0.674157	0.728732
1	Decay	Minkowski	Empty	9	0.876404	0.674157	0.727127
1	Decay	Minkowski	Empty	10	0.913323	0.730337	0.743178
1	Normalized Negative Distance	Minkowski	Empty	1	0.908507	0.691011	0.733547
1	Normalized Negative Distance	Minkowski	Empty	2	0.910112	0.707865	0.736758
1	Normalized Negative Distance	Minkowski	Empty	3	0.910112	0.707865	0.738363
1	Normalized Negative Distance	Minkowski	Empty	4	0.910112	0.707865	0.738363
1	Normalized Negative Distance	Minkowski	Empty	5	0.910112	0.707865	0.738363
1	Normalized Negative Distance	Minkowski	Empty	6	0.910112	0.707865	0.738363
1	Normalized Negative Distance	Minkowski	Empty	7	0.910112	0.707865	0.738363
1	Normalized Negative Distance	Minkowski	Empty	8	0.876404	0.674157	0.728732
1	Normalized Negative Distance	Minkowski	Empty	9	0.876404	0.674157	0.727127
1	Normalized Negative Distance	Minkowski	Empty	10	0.913323	0.730337	0.743178
2	Always One	Minkowski	Empty	1	0.849117	0.764045	0.751204
2	Always One	Minkowski	Empty	2	0.849117	0.764045	0.760835
2	Always One	Minkowski	Empty	3	0.850722	0.758427	0.751204
2	Always One	Minkowski	Empty	4	0.850722	0.758427	0.751204
2	Always One	Minkowski	Empty	5	0.850722	0.758427	0.751204
2	Always One	Minkowski	Empty	6	0.850722	0.758427	0.751204
2	Always One	Minkowski	Empty	7	0.850722	0.758427	0.751204
2	Always One	Minkowski	Empty	8	0.849117	0.752809	0.751204
2	Always One	Minkowski	Empty	9	0.849117	0.752809	0.751204
2	Always One	Minkowski	Empty	10	0.849117	0.764045	0.752809
2	Inverse Distance	Minkowski	Empty	1	0.927769	0.735955	0.749599
2	Inverse Distance	Minkowski	Empty	2	0.929374	0.741573	0.756019
2	Inverse Distance	Minkowski	Empty	3	0.929374	0.741573	0.747994
2	Inverse Distance	Minkowski	Empty	4	0.929374	0.741573	0.747994
2	Inverse Distance	Minkowski	Empty	5	0.929374	0.741573	0.747994
2	Inverse Distance	Minkowski	Empty	6	0.929374	0.741573	0.747994
2	Inverse Distance	Minkowski	Empty	7	0.929374	0.741573	0.747994
2	Inverse Distance	Minkowski	Empty	8	0.929374	0.741573	0.752809
2	Inverse Distance	Minkowski	Empty	9	0.929374	0.741573	0.752809
2	Inverse Distance	Minkowski	Empty	10	0.929374	0.741573	0.756019
2	Negative Distance	Minkowski	Empty	1	0.927769	0.735955	0.749599
