param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_splitter,mean_test_score,std_test_score,mean_train_score,std_train_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
gini,7,,4,20,best,0.8362760834670947,0.3700248582028396,0.8616408520126142,0.001253637715591827,1,0.005139482920663506,0.001491787995422064,0.002978932608762101,0.0011251232961240903
gini,5,,4,5,random,0.8362760834670947,0.3700248582028396,0.8439404809215858,0.0018264268650626354,1,0.00423043267876149,0.0009674315847720103,0.002957856482908393,0.0010642099954873317
gini,5,,4,2,random,0.8362760834670947,0.3700248582028396,0.8439404809215858,0.0018264268650626354,1,0.0042232437654253375,0.0011218284476749419,0.002953691620313911,0.0013325934996062771
gini,5,,4,10,random,0.8362760834670947,0.3700248582028396,0.8438295148978339,0.002354451189045714,1,0.004266021722392516,0.0013839827152638032,0.002956414490603329,0.0011207772654360933
entropy,7,,2,5,random,0.8346709470304976,0.3714772633872898,0.8512048845695294,0.002373780886733644,5,0.004622786615289042,0.0011333067538208436,0.00298823896992838,0.0005265383856341399
gini,10,sqrt,2,2,random,0.8330658105939005,0.3729171031387914,0.8505803781102742,0.005434954288420185,6,0.004249813085957094,0.0011481166954804918,0.0030782104112554707,0.0011306889621469204
gini,10,log2,2,2,random,0.8330658105939005,0.3729171031387914,0.8505803781102742,0.005434954288420185,6,0.004345896156029372,0.0013954277838220328,0.0030693452966729863,0.0008761240182977315
entropy,7,,1,5,random,0.8330658105939005,0.3729171031387914,0.8581776798294736,0.0030570904033786453,6,0.004607749406254311,0.0010874995110066532,0.0030715117293797184,0.001268872943423133
entropy,10,sqrt,2,2,random,0.8330658105939005,0.3729171031387914,0.8504590896657086,0.005429297748049476,6,0.004330650761269069,0.001224901005378816,0.0031263721123170316,0.00126294097446291
entropy,10,log2,2,2,random,0.8330658105939005,0.3729171031387914,0.8504590896657086,0.005429297748049476,6,0.004248505419368346,0.0006971390564306636,0.0030137677445266258,0.000720978229690899
entropy,5,,1,2,random,0.8298555377207063,0.37575966286309087,0.8332619365893689,0.001408239829944095,11,0.004430060976007012,0.0014896807470747436,0.0029689492612933652,0.000639869173625187
gini,10,,2,2,random,0.8298555377207063,0.3757596628630909,0.8778702781376287,0.004120959068576286,11,0.004676803922576659,0.0011743288392186391,0.0029814078758080547,0.0007014965435734285
entropy,5,,1,5,random,0.8298555377207063,0.37575966286309087,0.8332593559841653,0.0013626866167961984,11,0.004423051929014644,0.0009669989155928159,0.003075916924025044,0.0010623778771520092
entropy,5,,1,10,random,0.8298555377207063,0.37575966286309087,0.8317316377036741,0.001690995588019069,11,0.0047512100366681196,0.0023568003127664014,0.0033795829760703,0.0019809106668036295
entropy,,,4,10,random,0.8298555377207063,0.3757596628630909,0.8521519666792258,0.0040620709674912565,11,0.004692047021170872,0.001299631962080284,0.0029942090017646313,0.0007178428538949195
entropy,5,,4,20,random,0.8282504012841091,0.3771626625964205,0.8313677723699759,0.0011654054242475,16,0.004506422275524844,0.0016156857058293918,0.0030314876409441856,0.000947540365889334
entropy,10,,2,2,random,0.8282504012841091,0.3771626625964205,0.8789799383751477,0.0045024114141688845,16,0.004899724911342272,0.0013955631118155664,0.003074448143115587,0.0012843965539489361
gini,10,,4,20,best,0.8282504012841091,0.3771626625964205,0.8695142784885912,0.002557584165795273,16,0.005383628520690036,0.0011709709572788065,0.003022761827104547,0.001113899885040921
gini,5,,4,20,random,0.8282504012841091,0.3771626625964205,0.8313342245023302,0.0011174407913351983,16,0.004292308614495095,0.001372838071264526,0.002933886805085845,0.000852256948759911
