N_NEIGHBORS	WEIGHTS	DISTANCE	WEIGHTS PARAMS	DIST PARAMS	TRAIN ACC	VAL ACC	CROSS VAL ACC
1	Always One	Minkowski	Empty	1	0.983949	0.707865	0.746388
1	Always One	Minkowski	Empty	2	0.983949	0.707865	0.751204
1	Always One	Minkowski	Empty	3	0.985554	0.696629	0.757624
1	Always One	Minkowski	Empty	4	0.982343	0.707865	0.756019
1	Always One	Minkowski	Empty	5	0.983949	0.696629	0.756019
1	Always One	Minkowski	Empty	6	0.983949	0.702247	0.741573
1	Always One	Minkowski	Empty	7	0.983949	0.696629	0.744783
1	Always One	Minkowski	Empty	8	0.985554	0.707865	0.747994
1	Always One	Minkowski	Empty	9	0.975923	0.702247	0.749599
1	Always One	Minkowski	Empty	10	0.982343	0.707865	0.749599
1	Inverse Distance	Minkowski	Empty	1	0.983949	0.707865	0.746388
1	Inverse Distance	Minkowski	Empty	2	0.983949	0.707865	0.751204
1	Inverse Distance	Minkowski	Empty	3	0.985554	0.696629	0.757624
1	Inverse Distance	Minkowski	Empty	4	0.982343	0.707865	0.756019
1	Inverse Distance	Minkowski	Empty	5	0.983949	0.696629	0.756019
1	Inverse Distance	Minkowski	Empty	6	0.983949	0.702247	0.741573
1	Inverse Distance	Minkowski	Empty	7	0.983949	0.696629	0.744783
1	Inverse Distance	Minkowski	Empty	8	0.985554	0.707865	0.747994
1	Inverse Distance	Minkowski	Empty	9	0.975923	0.702247	0.749599
1	Inverse Distance	Minkowski	Empty	10	0.982343	0.707865	0.749599
1	Negative Distance	Minkowski	Empty	1	0.983949	0.707865	0.746388
1	Negative Distance	Minkowski	Empty	2	0.983949	0.707865	0.751204
1	Negative Distance	Minkowski	Empty	3	0.985554	0.696629	0.757624
1	Negative Distance	Minkowski	Empty	4	0.982343	0.707865	0.756019
1	Negative Distance	Minkowski	Empty	5	0.983949	0.696629	0.756019
1	Negative Distance	Minkowski	Empty	6	0.983949	0.702247	0.741573
1	Negative Distance	Minkowski	Empty	7	0.983949	0.696629	0.744783
1	Negative Distance	Minkowski	Empty	8	0.985554	0.707865	0.747994
1	Negative Distance	Minkowski	Empty	9	0.975923	0.702247	0.749599
1	Negative Distance	Minkowski	Empty	10	0.982343	0.707865	0.749599
1	Hump	Minkowski	Empty	1	0.983949	0.707865	0.746388
1	Hump	Minkowski	Empty	2	0.983949	0.707865	0.751204
1	Hump	Minkowski	Empty	3	0.985554	0.696629	0.757624
1	Hump	Minkowski	Empty	4	0.982343	0.707865	0.756019
1	Hump	Minkowski	Empty	5	0.983949	0.696629	0.756019
1	Hump	Minkowski	Empty	6	0.983949	0.702247	0.741573
1	Hump	Minkowski	Empty	7	0.983949	0.696629	0.744783
1	Hump	Minkowski	Empty	8	0.985554	0.707865	0.747994
1	Hump	Minkowski	Empty	9	0.975923	0.702247	0.749599
1	Hump	Minkowski	Empty	10	0.982343	0.707865	0.749599
1	Decay	Minkowski	Empty	1	0.983949	0.707865	0.746388
1	Decay	Minkowski	Empty	2	0.983949	0.707865	0.751204
1	Decay	Minkowski	Empty	3	0.985554	0.696629	0.757624
1	Decay	Minkowski	Empty	4	0.982343	0.707865	0.756019
1	Decay	Minkowski	Empty	5	0.983949	0.696629	0.756019
1	Decay	Minkowski	Empty	6	0.983949	0.702247	0.741573
1	Decay	Minkowski	Empty	7	0.983949	0.696629	0.744783
1	Decay	Minkowski	Empty	8	0.985554	0.707865	0.747994
1	Decay	Minkowski	Empty	9	0.975923	0.702247	0.749599
1	Decay	Minkowski	Empty	10	0.982343	0.707865	0.749599
1	Normalized Negative Distance	Minkowski	Empty	1	0.983949	0.707865	0.746388
1	Normalized Negative Distance	Minkowski	Empty	2	0.983949	0.707865	0.751204
1	Normalized Negative Distance	Minkowski	Empty	3	0.985554	0.696629	0.757624
1	Normalized Negative Distance	Minkowski	Empty	4	0.982343	0.707865	0.756019
1	Normalized Negative Distance	Minkowski	Empty	5	0.983949	0.696629	0.756019
1	Normalized Negative Distance	Minkowski	Empty	6	0.983949	0.702247	0.741573
1	Normalized Negative Distance	Minkowski	Empty	7	0.983949	0.696629	0.744783
1	Normalized Negative Distance	Minkowski	Empty	8	0.985554	0.707865	0.747994
1	Normalized Negative Distance	Minkowski	Empty	9	0.975923	0.702247	0.749599
1	Normalized Negative Distance	Minkowski	Empty	10	0.982343	0.707865	0.749599
2	Always One	Minkowski	Empty	1	0.857143	0.752809	0.764045
2	Always One	Minkowski	Empty	2	0.861958	0.741573	0.770465
2	Always One	Minkowski	Empty	3	0.865169	0.741573	0.772071
2	Always One	Minkowski	Empty	4	0.863563	0.752809	0.768860
2	Always One	Minkowski	Empty	5	0.863563	0.752809	0.772071
2	Always One	Minkowski	Empty	6	0.865169	0.747191	0.773676
2	Always One	Minkowski	Empty	7	0.861958	0.747191	0.773676
2	Always One	Minkowski	Empty	8	0.858748	0.730337	0.770465
2	Always One	Minkowski	Empty	9	0.857143	0.747191	0.768860
2	Always One	Minkowski	Empty	10	0.855538	0.741573	0.768860
2	Inverse Distance	Minkowski	Empty	1	0.979133	0.696629	0.743178
2	Inverse Distance	Minkowski	Empty	2	0.983949	0.713483	0.746388
2	Inverse Distance	Minkowski	Empty	3	0.985554	0.713483	0.751204
2	Inverse Distance	Minkowski	Empty	4	0.982343	0.719101	0.746388
2	Inverse Distance	Minkowski	Empty	5	0.982343	0.719101	0.749599
2	Inverse Distance	Minkowski	Empty	6	0.983949	0.713483	0.751204
2	Inverse Distance	Minkowski	Empty	7	0.982343	0.719101	0.751204
2	Inverse Distance	Minkowski	Empty	8	0.979133	0.702247	0.749599
2	Inverse Distance	Minkowski	Empty	9	0.977528	0.707865	0.747994
2	Inverse Distance	Minkowski	Empty	10	0.977528	0.702247	0.746388
2	Negative Distance	Minkowski	Empty	1	0.979133	0.696629	0.743178
2	Negative Distance	Minkowski	Empty	2	0.983949	0.713483	0.746388
2	Negative Distance	Minkowski	Empty	3	0.985554	0.713483	0.751204
2	Negative Distance	Minkowski	Empty	4	0.982343	0.719101	0.746388
2	Negative Distance	Minkowski	Empty	5	0.982343	0.719101	0.749599
2	Negative Distance	Minkowski	Empty	6	0.983949	0.713483	0.751204
2	Negative Distance	Minkowski	Empty	7	0.982343	0.719101	0.751204
2	Negative Distance	Minkowski	Empty	8	0.979133	0.702247	0.749599
2	Negative Distance	Minkowski	Empty	9	0.977528	0.707865	0.747994
2	Negative Distance	Minkowski	Empty	10	0.977528	0.702247	0.746388
2	Hump	Minkowski	Empty	1	0.979133	0.696629	0.741573
2	Hump	Minkowski	Empty	2	0.983949	0.713483	0.744783
2	Hump	Minkowski	Empty	3	0.985554	0.713483	0.749599
2	Hump	Minkowski	Empty	4	0.982343	0.719101	0.744783
2	Hump	Minkowski	Empty	5	0.982343	0.719101	0.747994
2	Hump	Minkowski	Empty	6	0.983949	0.707865	0.749599
2	Hump	Minkowski	Empty	7	0.982343	0.713483	0.749599
2	Hump	Minkowski	Empty	8	0.979133	0.696629	0.747994
2	Hump	Minkowski	Empty	9	0.977528	0.702247	0.746388
2	Hump	Minkowski	Empty	10	0.977528	0.696629	0.746388
2	Decay	Minkowski	Empty	1	0.979133	0.696629	0.741573
2	Decay	Minkowski	Empty	2	0.983949	0.713483	0.744783
2	Decay	Minkowski	Empty	3	0.985554	0.713483	0.749599
2	Decay	Minkowski	Empty	4	0.982343	0.719101	0.744783
2	Decay	Minkowski	Empty	5	0.982343	0.719101	0.747994
2	Decay	Minkowski	Empty	6	0.983949	0.713483	0.749599
2	Decay	Minkowski	Empty	7	0.982343	0.719101	0.749599
2	Decay	Minkowski	Empty	8	0.979133	0.702247	0.747994
2	Decay	Minkowski	Empty	9	0.977528	0.707865	0.746388
2	Decay	Minkowski	Empty	10	0.977528	0.702247	0.744783
2	Normalized Negative Distance	Minkowski	Empty	1	0.979133	0.696629	0.743178
2	Normalized Negative Distance	Minkowski	Empty	2	0.983949	0.713483	0.746388
2	Normalized Negative Distance	Minkowski	Empty	3	0.985554	0.713483	0.751204
2	Normalized Negative Distance	Minkowski	Empty	4	0.982343	0.719101	0.746388
2	Normalized Negative Distance	Minkowski	Empty	5	0.982343	0.719101	0.749599
2	Normalized Negative Distance	Minkowski	Empty	6	0.983949	0.713483	0.751204
2	Normalized Negative Distance	Minkowski	Empty	7	0.982343	0.719101	0.751204
2	Normalized Negative Distance	Minkowski	Empty	8	0.979133	0.702247	0.749599
2	Normalized Negative Distance	Minkowski	Empty	9	0.977528	0.707865	0.747994
2	Normalized Negative Distance	Minkowski	Empty	10	0.977528	0.702247	0.746388
3	Always One	Minkowski	Empty	1	0.865169	0.758427	0.788122
3	Always One	Minkowski	Empty	2	0.869984	0.758427	0.784912
3	Always One	Minkowski	Empty	3	0.868379	0.758427	0.783307
3	Always One	Minkowski	Empty	4	0.866774	0.758427	0.784912
3	Always One	Minkowski	Empty	5	0.868379	0.758427	0.784912
3	Always One	Minkowski	Empty	6	0.866774	0.758427	0.784912
3	Always One	Minkowski	Empty	7	0.866774	0.758427	0.783307
3	Always One	Minkowski	Empty	8	0.866774	0.758427	0.783307
3	Always One	Minkowski	Empty	9	0.866774	0.769663	0.784912
3	Always One	Minkowski	Empty	10	0.866774	0.764045	0.792937
3	Inverse Distance	Minkowski	Empty	1	0.977528	0.702247	0.764045
3	Inverse Distance	Minkowski	Empty	2	0.982343	0.719101	0.760835
3	Inverse Distance	Minkowski	Empty	3	0.982343	0.724719	0.759230
3	Inverse Distance	Minkowski	Empty	4	0.982343	0.724719	0.759230
3	Inverse Distance	Minkowski	Empty	5	0.977528	0.707865	0.762440
3	Inverse Distance	Minkowski	Empty	6	0.977528	0.707865	0.760835
3	Inverse Distance	Minkowski	Empty	7	0.982343	0.724719	0.762440
3	Inverse Distance	Minkowski	Empty	8	0.977528	0.707865	0.762440
3	Inverse Distance	Minkowski	Empty	9	0.977528	0.707865	0.762440
3	Inverse Distance	Minkowski	Empty	10	0.977528	0.707865	0.765650
3	Negative Distance	Minkowski	Empty	1	0.866774	0.651685	0.688604
3	Negative Distance	Minkowski	Empty	2	0.873194	0.674157	0.682183
3	Negative Distance	Minkowski	Empty	3	0.876404	0.674157	0.677368
3	Negative Distance	Minkowski	Empty	4	0.878010	0.674157	0.675762
3	Negative Distance	Minkowski	Empty	5	0.873194	0.657303	0.680578
3	Negative Distance	Minkowski	Empty	6	0.873194	0.657303	0.682183
3	Negative Distance	Minkowski	Empty	7	0.876404	0.674157	0.686998
3	Negative Distance	Minkowski	Empty	8	0.868379	0.651685	0.683788
3	Negative Distance	Minkowski	Empty	9	0.868379	0.640449	0.680578
3	Negative Distance	Minkowski	Empty	10	0.866774	0.662921	0.674157
3	Hump	Minkowski	Empty	1	0.878010	0.752809	0.780096
3	Hump	Minkowski	Empty	2	0.882825	0.752809	0.778491
3	Hump	Minkowski	Empty	3	0.881220	0.752809	0.778491
3	Hump	Minkowski	Empty	4	0.879615	0.752809	0.781701
3	Hump	Minkowski	Empty	5	0.881220	0.752809	0.781701
3	Hump	Minkowski	Empty	6	0.879615	0.752809	0.781701
3	Hump	Minkowski	Empty	7	0.879615	0.752809	0.780096
3	Hump	Minkowski	Empty	8	0.879615	0.752809	0.780096
3	Hump	Minkowski	Empty	9	0.879615	0.752809	0.780096
3	Hump	Minkowski	Empty	10	0.881220	0.752809	0.788122
3	Decay	Minkowski	Empty	1	0.881220	0.752809	0.784912
3	Decay	Minkowski	Empty	2	0.886035	0.752809	0.784912
3	Decay	Minkowski	Empty	3	0.882825	0.752809	0.783307
3	Decay	Minkowski	Empty	4	0.881220	0.752809	0.784912
3	Decay	Minkowski	Empty	5	0.882825	0.752809	0.784912
3	Decay	Minkowski	Empty	6	0.881220	0.752809	0.784912
3	Decay	Minkowski	Empty	7	0.881220	0.752809	0.783307
3	Decay	Minkowski	Empty	8	0.881220	0.752809	0.781701
