N_NEIGHBORS	WEIGHTS	DISTANCE	WEIGHTS PARAMS	DIST PARAMS	TRAIN ACC	VAL ACC	CROSS VAL ACC
1	Always One	Minkowski	Empty	1	0.895666	0.730337	0.746388
1	Always One	Minkowski	Empty	2	0.849117	0.657303	0.741573
1	Always One	Minkowski	Empty	3	0.845907	0.646067	0.743178
1	Always One	Minkowski	Empty	4	0.845907	0.646067	0.743178
1	Always One	Minkowski	Empty	5	0.845907	0.646067	0.743178
1	Always One	Minkowski	Empty	6	0.845907	0.646067	0.743178
1	Always One	Minkowski	Empty	7	0.845907	0.646067	0.741573
1	Always One	Minkowski	Empty	8	0.895666	0.724719	0.741573
1	Always One	Minkowski	Empty	9	0.895666	0.724719	0.739968
1	Always One	Minkowski	Empty	10	0.900482	0.713483	0.730337
1	Inverse Distance	Minkowski	Empty	1	0.895666	0.730337	0.746388
1	Inverse Distance	Minkowski	Empty	2	0.849117	0.657303	0.741573
1	Inverse Distance	Minkowski	Empty	3	0.845907	0.646067	0.743178
1	Inverse Distance	Minkowski	Empty	4	0.845907	0.646067	0.743178
1	Inverse Distance	Minkowski	Empty	5	0.845907	0.646067	0.743178
1	Inverse Distance	Minkowski	Empty	6	0.845907	0.646067	0.743178
1	Inverse Distance	Minkowski	Empty	7	0.845907	0.646067	0.741573
1	Inverse Distance	Minkowski	Empty	8	0.895666	0.724719	0.741573
1	Inverse Distance	Minkowski	Empty	9	0.895666	0.724719	0.739968
1	Inverse Distance	Minkowski	Empty	10	0.900482	0.713483	0.730337
1	Negative Distance	Minkowski	Empty	1	0.895666	0.730337	0.746388
1	Negative Distance	Minkowski	Empty	2	0.849117	0.657303	0.741573
1	Negative Distance	Minkowski	Empty	3	0.845907	0.646067	0.743178
1	Negative Distance	Minkowski	Empty	4	0.845907	0.646067	0.743178
1	Negative Distance	Minkowski	Empty	5	0.845907	0.646067	0.743178
1	Negative Distance	Minkowski	Empty	6	0.845907	0.646067	0.743178
1	Negative Distance	Minkowski	Empty	7	0.845907	0.646067	0.741573
1	Negative Distance	Minkowski	Empty	8	0.895666	0.724719	0.741573
1	Negative Distance	Minkowski	Empty	9	0.895666	0.724719	0.739968
1	Negative Distance	Minkowski	Empty	10	0.900482	0.713483	0.730337
1	Hump	Minkowski	Empty	1	0.895666	0.730337	0.746388
1	Hump	Minkowski	Empty	2	0.849117	0.657303	0.741573
1	Hump	Minkowski	Empty	3	0.845907	0.646067	0.743178
1	Hump	Minkowski	Empty	4	0.845907	0.646067	0.743178
1	Hump	Minkowski	Empty	5	0.845907	0.646067	0.743178
1	Hump	Minkowski	Empty	6	0.845907	0.646067	0.743178
1	Hump	Minkowski	Empty	7	0.845907	0.646067	0.741573
1	Hump	Minkowski	Empty	8	0.895666	0.724719	0.741573
1	Hump	Minkowski	Empty	9	0.895666	0.724719	0.739968
1	Hump	Minkowski	Empty	10	0.900482	0.713483	0.730337
1	Decay	Minkowski	Empty	1	0.895666	0.730337	0.746388
1	Decay	Minkowski	Empty	2	0.849117	0.657303	0.741573
1	Decay	Minkowski	Empty	3	0.845907	0.646067	0.743178
1	Decay	Minkowski	Empty	4	0.845907	0.646067	0.743178
1	Decay	Minkowski	Empty	5	0.845907	0.646067	0.743178
1	Decay	Minkowski	Empty	6	0.845907	0.646067	0.743178
1	Decay	Minkowski	Empty	7	0.845907	0.646067	0.741573
1	Decay	Minkowski	Empty	8	0.895666	0.724719	0.741573
1	Decay	Minkowski	Empty	9	0.895666	0.724719	0.739968
1	Decay	Minkowski	Empty	10	0.900482	0.713483	0.730337
1	Normalized Negative Distance	Minkowski	Empty	1	0.895666	0.730337	0.746388
1	Normalized Negative Distance	Minkowski	Empty	2	0.849117	0.657303	0.741573
1	Normalized Negative Distance	Minkowski	Empty	3	0.845907	0.646067	0.743178
1	Normalized Negative Distance	Minkowski	Empty	4	0.845907	0.646067	0.743178
1	Normalized Negative Distance	Minkowski	Empty	5	0.845907	0.646067	0.743178
1	Normalized Negative Distance	Minkowski	Empty	6	0.845907	0.646067	0.743178
1	Normalized Negative Distance	Minkowski	Empty	7	0.845907	0.646067	0.741573
1	Normalized Negative Distance	Minkowski	Empty	8	0.895666	0.724719	0.741573
1	Normalized Negative Distance	Minkowski	Empty	9	0.895666	0.724719	0.739968
1	Normalized Negative Distance	Minkowski	Empty	10	0.900482	0.713483	0.730337
2	Always One	Minkowski	Empty	1	0.857143	0.735955	0.775281
2	Always One	Minkowski	Empty	2	0.860353	0.741573	0.773676
2	Always One	Minkowski	Empty	3	0.860353	0.741573	0.772071
2	Always One	Minkowski	Empty	4	0.860353	0.741573	0.772071
2	Always One	Minkowski	Empty	5	0.860353	0.741573	0.772071
2	Always One	Minkowski	Empty	6	0.860353	0.741573	0.772071
2	Always One	Minkowski	Empty	7	0.860353	0.741573	0.772071
2	Always One	Minkowski	Empty	8	0.863563	0.741573	0.767255
2	Always One	Minkowski	Empty	9	0.863563	0.741573	0.767255
2	Always One	Minkowski	Empty	10	0.860353	0.724719	0.773676
2	Inverse Distance	Minkowski	Empty	1	0.918138	0.735955	0.770465
2	Inverse Distance	Minkowski	Empty	2	0.918138	0.741573	0.770465
2	Inverse Distance	Minkowski	Empty	3	0.918138	0.741573	0.768860
2	Inverse Distance	Minkowski	Empty	4	0.918138	0.741573	0.768860
2	Inverse Distance	Minkowski	Empty	5	0.918138	0.741573	0.768860
2	Inverse Distance	Minkowski	Empty	6	0.918138	0.741573	0.768860
2	Inverse Distance	Minkowski	Empty	7	0.918138	0.741573	0.768860
2	Inverse Distance	Minkowski	Empty	8	0.919743	0.747191	0.762440
2	Inverse Distance	Minkowski	Empty	9	0.919743	0.747191	0.764045
2	Inverse Distance	Minkowski	Empty	10	0.914928	0.730337	0.770465
2	Negative Distance	Minkowski	Empty	1	0.918138	0.735955	0.770465
2	Negative Distance	Minkowski	Empty	2	0.918138	0.741573	0.770465
2	Negative Distance	Minkowski	Empty	3	0.918138	0.741573	0.768860
2	Negative Distance	Minkowski	Empty	4	0.918138	0.741573	0.768860
2	Negative Distance	Minkowski	Empty	5	0.918138	0.741573	0.768860
2	Negative Distance	Minkowski	Empty	6	0.918138	0.741573	0.768860
2	Negative Distance	Minkowski	Empty	7	0.918138	0.741573	0.768860
2	Negative Distance	Minkowski	Empty	8	0.919743	0.747191	0.762440
2	Negative Distance	Minkowski	Empty	9	0.919743	0.747191	0.764045
2	Negative Distance	Minkowski	Empty	10	0.914928	0.730337	0.770465
2	Hump	Minkowski	Empty	1	0.918138	0.730337	0.768860
2	Hump	Minkowski	Empty	2	0.918138	0.735955	0.768860
2	Hump	Minkowski	Empty	3	0.918138	0.735955	0.767255
2	Hump	Minkowski	Empty	4	0.918138	0.735955	0.767255
2	Hump	Minkowski	Empty	5	0.918138	0.735955	0.767255
2	Hump	Minkowski	Empty	6	0.918138	0.735955	0.767255
